procuringEntity.id,ocid,nf016
EC-RUC-1768159220001-338536,ocds-5wno2w-LICO-SECOB-002-2019-338536,1
EC-RUC-0960000490001-44718,ocds-5wno2w-LICO-GADIMCD-01-2021-44718,1
EC-RUC-1768159220001-338536,ocds-5wno2w-LICO-SECOB-003-2019-338536,1
EC-RUC-0760000770001-39712,ocds-5wno2w-RE-ESPE-017-2021-30573,1
EC-RUC-0360000310001-99459,ocds-5wno2w-RSIE-GADPRGÜEL-005-118007,1
EC-RUC-0960000220001-44856,ocds-5wno2w-CE-20220002249489-3421,1
EC-RUC-0760000180001-17250,ocds-5wno2w-COTBS-CPCCS-2021-002-125458,1
EC-RUC-0968505300001-131240,ocds-5wno2w-LICO-D09D20-01-2019-131240,1
EC-RUC-1768153530001-253178,ocds-5wno2w-LO-EPP-2017015-19-253178,1
EC-RUC-1768011230001-2465,ocds-5wno2w-CE-20220002260834-2808,1
EC-RUC-1360064440001-266435,ocds-5wno2w-REE-GADMCH-009-2021-108317,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-DPE-004-2022-58233,1
EC-RUC-1768153530001-253178,ocds-5wno2w-MCO-GADMCS-2021-17-96675,1
EC-RUC-0960000220001-44856,ocds-5wno2w-CE-20210002006073-278371,1
EC-RUC-0968599020001-462114,ocds-5wno2w-CE-20210002028179-2466,1
EC-RUC-1890149215001-1013421,ocds-5wno2w-LICO-UNIANDES-001-20-1013421,1
EC-RUC-0860001050001-20080,ocds-5wno2w-LICO-GADMA-002-2021-20080,1
EC-RUC-1360002840001-40342,ocds-5wno2w-CE-20220002275994-1096812,1
EC-RUC-0960006340001-35945,ocds-5wno2w-SIE-DT-PTAR-005-2022-316213,1
EC-RUC-1768153530001-253178,ocds-5wno2w-LO-EPP-2019761-20-253178,1
EC-RUC-2360001250001-273847,ocds-5wno2w-LICO-EPMAPASD-2-2020-273847,1
EC-RUC-1160000830001-60535,ocds-5wno2w-LICO-GADMCM-2019-003-60535,1
EC-RUC-1890001439001-3233,ocds-5wno2w-LICO-EEASA-159-2019-3233,1
EC-RUC-1760005540001-32713,ocds-5wno2w-LICO-UCE-001-2019-32713,1
EC-RUC-17681528000011-240699,ocds-5wno2w-LICO-CELTRA-025-19-240699,1
EC-RUC-0960001110001-54001,ocds-5wno2w-LICO-GADPC-01-2021-54001,1
EC-RUC-1360001010001-2896,ocds-5wno2w-LICO-002CP-GACM-2019-2896,1
EC-RUC-0760000180001-17250,ocds-5wno2w-CE-20220002268757-541553,1
EC-RUC-1460000530001-42184,ocds-5wno2w-CE-20210002043282-108867,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GGS01-2020-3214,1
EC-RUC-0460000640001-21655,ocds-5wno2w-CE-20220002275975-1096812,1
EC-RUC-1768097520001-48787,ocds-5wno2w-LICO-CJ-DNA-001-2019-48787,1
EC-RUC-1790053881001-3214,ocds-5wno2w-MCO-PINAS-04-2022-33182,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-004-2020-44856,1
EC-RUC-1860000210001-2161,ocds-5wno2w-CE-20210002007214-183304,1
EC-RUC-0960000730001-20092,ocds-5wno2w-LICO-GADMM-05-19-20092,1
EC-RUC-1768153530001-253178,ocds-5wno2w-LO-EPP-2019344-1-20-253178,1
EC-RUC-0960000490001-44718,ocds-5wno2w-LISEG-GADMT-007-2021-36463,1
EC-RUC-1560000780001-2692,ocds-5wno2w-SIE-CMP-008-2022-314602,1
EC-RUC-0960000220001-44856,ocds-5wno2w-MCO-GADMCP-12-2021-63260,1
EC-RUC-0960001540001-4081,ocds-5wno2w-LICO-IMSE-010-2020-4081,1
EC-RUC-0960001540001-4081,ocds-5wno2w-LICO-IMSE-006-2020.-4081,1
EC-RUC-0960000220001-44856,ocds-5wno2w-COTO-GAD-I-021-2021-2783,1
EC-RUC-0968595970001-439831,ocds-5wno2w-CE-20210001998612-544484,1
EC-RUC-2460002550001-462963,ocds-5wno2w-LICO-AGP-001-2019-462963,1
EC-RUC-1560000780001-2692,ocds-5wno2w-MCO-URBINA-001-2022-120481,1
EC-RUC-1560002480001-29112,ocds-5wno2w-RE-EP-EMA-6-2021-337168,1
EC-RUC-1760003920001-2485,ocds-5wno2w-RE-CEP-DINASED-01-20-536734,1
EC-RUC-0960000490001-44718,ocds-5wno2w-RE-EPP-2021434-21-253178,1
EC-RUC-0860040700001-131152,ocds-5wno2w-RE-HGESDTC-009-2021-8531,1
EC-RUC-1360000390001-24744,ocds-5wno2w-LICO-GADBOL-001-2021-24744,1
EC-RUC-1360000550001-79292,ocds-5wno2w-LICO-GADMEC-002-2019-79292,1
EC-RUC-0860000400001-38203,ocds-5wno2w-LICO-GADMCM-001-2019-38203,1
EC-RUC-1360000980001-2668,ocds-5wno2w-R4LICO-GADMANTA-1-20-2668,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-016-2019-44856,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GPE08-2019-3214,1
EC-RUC-1560001160001-2452,ocds-5wno2w-LIC-GADMSFD-2020-007-2452,1
EC-RUC-1560001160001-2452,ocds-5wno2w-LIC-GADMSFD-2020-006-2452,1
EC-RUC-0760000180001-17250,ocds-5wno2w-CE-20220002238472-104585,1
EC-RUC-0960000490001-44718,ocds-5wno2w-CE-20220002275848-542207,1
EC-RUC-0160000270001-2616,ocds-5wno2w-CE-20210002082570-3680,1
EC-RUC-1360000630001-102953,ocds-5wno2w-CE-20220002166276-39091,1
EC-RUC-0992183721001-71669,ocds-5wno2w-CE-20210002104197-701699,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GPE09-2019-3214,1
EC-RUC-0960001380001-35249,ocds-5wno2w-CE-20210002046078-119508,1
EC-RUC-0960000490001-44718,ocds-5wno2w-SIE-AGRO-2021-010-382354,1
EC-RUC-0960000490001-44718,ocds-5wno2w-LICSG-MCYP-01-2021-13654,1
