page,date_error,time_error,error_message
20,02/11/2022,06:47:55,Status Conection ERROR !!
21,02/11/2022,06:47:55,Status Conection ERROR !!
22,02/11/2022,06:47:57,Status Conection ERROR !!
23,02/11/2022,06:47:57,Status Conection ERROR !!
24,02/11/2022,06:47:57,Status Conection ERROR !!
25,02/11/2022,06:47:58,Status Conection ERROR !!
26,02/11/2022,06:47:58,Status Conection ERROR !!
27,02/11/2022,06:47:58,Status Conection ERROR !!
28,02/11/2022,06:47:58,Status Conection ERROR !!
29,02/11/2022,06:47:58,Status Conection ERROR !!
30,02/11/2022,06:47:58,Status Conection ERROR !!
31,02/11/2022,06:47:58,Status Conection ERROR !!
32,02/11/2022,06:47:59,Status Conection ERROR !!
33,02/11/2022,06:47:59,Status Conection ERROR !!
34,02/11/2022,06:47:59,Status Conection ERROR !!
35,02/11/2022,06:47:59,Status Conection ERROR !!
36,02/11/2022,06:47:59,Status Conection ERROR !!
37,02/11/2022,06:47:59,Status Conection ERROR !!
38,02/11/2022,06:47:59,Status Conection ERROR !!
39,02/11/2022,06:48:01,Status Conection ERROR !!
40,02/11/2022,06:48:01,Status Conection ERROR !!
41,02/11/2022,06:48:02,Status Conection ERROR !!
42,02/11/2022,06:48:03,Status Conection ERROR !!
43,02/11/2022,06:48:03,Status Conection ERROR !!
44,02/11/2022,06:48:04,Status Conection ERROR !!
45,02/11/2022,06:48:04,Status Conection ERROR !!
46,02/11/2022,06:48:04,Status Conection ERROR !!
47,02/11/2022,06:48:04,Status Conection ERROR !!
48,02/11/2022,06:48:04,Status Conection ERROR !!
49,02/11/2022,06:48:04,Status Conection ERROR !!
4250,02/11/2022,08:53:03,Status Conection ERROR !!
4251,02/11/2022,08:54:03,Status Conection ERROR !!
4252,02/11/2022,08:55:03,Status Conection ERROR !!
6707,02/11/2022,10:45:45,Status Conection ERROR !!
6708,02/11/2022,10:45:46,Status Conection ERROR !!
6709,02/11/2022,10:45:46,Status Conection ERROR !!
6710,02/11/2022,10:45:46,Status Conection ERROR !!
6711,02/11/2022,10:45:46,Status Conection ERROR !!
6712,02/11/2022,10:45:46,Status Conection ERROR !!
6713,02/11/2022,10:45:47,Status Conection ERROR !!
6714,02/11/2022,10:45:47,Status Conection ERROR !!
6715,02/11/2022,10:45:47,Status Conection ERROR !!
6716,02/11/2022,10:45:47,Status Conection ERROR !!
6717,02/11/2022,10:45:47,Status Conection ERROR !!
6718,02/11/2022,10:45:47,Status Conection ERROR !!
6719,02/11/2022,10:45:47,Status Conection ERROR !!
6720,02/11/2022,10:45:48,Status Conection ERROR !!
6721,02/11/2022,10:45:48,Status Conection ERROR !!
6722,02/11/2022,10:45:48,Status Conection ERROR !!
6723,02/11/2022,10:45:48,Status Conection ERROR !!
6724,02/11/2022,10:45:48,Status Conection ERROR !!
6725,02/11/2022,10:45:48,Status Conection ERROR !!
6726,02/11/2022,10:45:49,Status Conection ERROR !!
6727,02/11/2022,10:45:49,Status Conection ERROR !!
6728,02/11/2022,10:45:49,Status Conection ERROR !!
6729,02/11/2022,10:45:49,Status Conection ERROR !!
6730,02/11/2022,10:45:49,Status Conection ERROR !!
6731,02/11/2022,10:45:49,Status Conection ERROR !!
6732,02/11/2022,10:45:50,Status Conection ERROR !!
6733,02/11/2022,10:45:50,Status Conection ERROR !!
6734,02/11/2022,10:45:50,Status Conection ERROR !!
6735,02/11/2022,10:45:50,Status Conection ERROR !!
6736,02/11/2022,10:45:51,Status Conection ERROR !!
6737,02/11/2022,10:45:51,Status Conection ERROR !!
6738,02/11/2022,10:45:52,Status Conection ERROR !!
6739,02/11/2022,10:45:52,Status Conection ERROR !!
6740,02/11/2022,10:45:52,Status Conection ERROR !!
6741,02/11/2022,10:45:54,Status Conection ERROR !!
6742,02/11/2022,10:45:54,Status Conection ERROR !!
6743,02/11/2022,10:45:55,Status Conection ERROR !!
9836,02/11/2022,13:43:05,Status Conection ERROR !!
9837,02/11/2022,13:43:06,Status Conection ERROR !!
9838,02/11/2022,13:43:06,Status Conection ERROR !!
9839,02/11/2022,13:43:06,Status Conection ERROR !!
9840,02/11/2022,13:43:06,Status Conection ERROR !!
9841,02/11/2022,13:43:06,Status Conection ERROR !!
9842,02/11/2022,13:43:06,Status Conection ERROR !!
9843,02/11/2022,13:43:06,Status Conection ERROR !!
9844,02/11/2022,13:43:07,Status Conection ERROR !!
9845,02/11/2022,13:43:07,Status Conection ERROR !!
9846,02/11/2022,13:43:07,Status Conection ERROR !!
9847,02/11/2022,13:43:07,Status Conection ERROR !!
9848,02/11/2022,13:43:07,Status Conection ERROR !!
9849,02/11/2022,13:43:07,Status Conection ERROR !!
