iteration_num,times_tried,ocid_code,date_error,time_error,error_message
58,1,ocds-5wno2w-CE-20190001455077-51561,21/11/2022,18:37:17,Status Conection ERROR !!
117,1,ocds-5wno2w-CE-20190001455029-346777,21/11/2022,18:38:29,Status Conection ERROR !!
176,1,ocds-5wno2w-CE-20190001455364-8098,21/11/2022,18:39:44,Status Conection ERROR !!
236,1,ocds-5wno2w-CE-20190001455432-12070,21/11/2022,18:40:54,Status Conection ERROR !!
296,1,ocds-5wno2w-CE-20190001455589-37500,21/11/2022,18:42:04,Status Conection ERROR !!
409,1,ocds-5wno2w-CE-20190001455900-562698,21/11/2022,18:44:25,Status Conection ERROR !!
465,1,ocds-5wno2w-CE-20190001456090-96750,21/11/2022,18:45:37,Status Conection ERROR !!
525,1,ocds-5wno2w-CE-20190001455837-19749,21/11/2022,18:46:46,Status Conection ERROR !!
585,1,ocds-5wno2w-CE-20190001456145-35918,21/11/2022,18:47:56,Status Conection ERROR !!
645,1,ocds-5wno2w-CE-20190001456317-2543,21/11/2022,18:49:06,Status Conection ERROR !!
759,1,ocds-5wno2w-CE-20190001456715-91033,21/11/2022,18:51:25,Status Conection ERROR !!
819,1,ocds-5wno2w-RE-GADICC-001-2019-94877,21/11/2022,18:52:35,Status Conection ERROR !!
879,1,ocds-5wno2w-SIE-GADPRE-001-2019-115590,21/11/2022,18:53:47,Status Conection ERROR !!
939,1,ocds-5wno2w-CE-20190001456940-74677,21/11/2022,18:54:56,Status Conection ERROR !!
997,1,ocds-5wno2w-CE-20190001457398-81681,21/11/2022,18:56:06,Status Conection ERROR !!
1099,1,ocds-5wno2w-CE-20190001456999-111097,21/11/2022,18:58:28,Status Conection ERROR !!
1159,1,ocds-5wno2w-CE-20190001457133-51561,21/11/2022,18:59:39,Status Conection ERROR !!
1219,1,ocds-5wno2w-CE-20190001457778-62072,21/11/2022,19:00:48,Status Conection ERROR !!
1276,1,ocds-5wno2w-CE-20190001457648-34880,21/11/2022,19:02:00,Status Conection ERROR !!
1336,1,ocds-5wno2w-CE-20190001457626-34880,21/11/2022,19:03:18,Status Conection ERROR !!
1349,1,ocds-5wno2w-CE-20190001457797-62072,21/11/2022,19:04:20,Status Conection ERROR !!
1399,1,ocds-5wno2w-CE-20190001457590-329706,21/11/2022,19:05:29,Status Conection ERROR !!
1416,1,ocds-5wno2w-CE-20190001457624-34880,21/11/2022,19:06:04,Status Conection ERROR !!
1416,2,ocds-5wno2w-CE-20190001457624-34880,21/11/2022,19:06:44,Status Conection ERROR !!
